run_number,subrun_index,analysis_set,specimen,wire,measurement_direction,measurement_position,two_theta_min_deg,two_theta_max_deg,d_spacing_angstrom,d_spacing_uncertainty_angstrom
4645,18,axial-residual-strain,B12W,Wire F,axial,-160 mm,80.75,83.0,1.1659808949071333,0.0002570910161221499
4645,19,axial-residual-strain,B12W,Wire F,axial,-170 mm,80.75,83.0,1.1662286679499185,0.0002423545929874015
4646,1,alignment-sensitivity,B12W,Wire F,axial,x=-170 mm; y=-1 mm; z=0 mm,80.75,83.0,1.1664354031532043,0.0002930659216108951
4646,2,alignment-sensitivity,B12W,Wire F,axial,x=-170 mm; y=0 mm; z=1 mm,80.75,83.0,1.166070780936584,0.00028868095512384187
4646,3,alignment-sensitivity,B12W,Wire F,axial,x=-170 mm; y=0 mm; z=0 mm,80.75,83.0,1.1663379903484308,0.00022192981412790983
4646,4,alignment-sensitivity,B12W,Wire F,axial,x=-170 mm; y=0 mm; z=-1 mm,80.75,83.0,1.1662831253981691,0.0002489789339650279
4646,5,alignment-sensitivity,B12W,Wire F,axial,x=-170 mm; y=1 mm; z=0 mm,80.75,83.0,1.1659281567798143,0.0002490778777640984
4646,6,alignment-sensitivity,B12W,Wire F,axial,x=-150 mm; y=-1 mm; z=0 mm,80.75,83.0,1.1661570030089845,0.00024155323547078923
4646,7,alignment-sensitivity,B12W,Wire F,axial,x=-150 mm; y=0 mm; z=1 mm,80.75,83.0,1.1660145098882628,0.0002641757171876621
4646,8,alignment-sensitivity,B12W,Wire F,axial,x=-150 mm; y=0 mm; z=0 mm,80.75,83.0,1.1664133711592302,0.00024959022251143647
4646,9,alignment-sensitivity,B12W,Wire F,axial,x=-150 mm; y=0 mm; z=-1 mm,80.75,83.0,1.1666818389543796,0.0002713239029785637
4646,10,alignment-sensitivity,B12W,Wire F,axial,x=-150 mm; y=1 mm; z=0 mm,80.75,83.0,1.1662740753665355,0.0002735227517946249
4646,11,alignment-sensitivity,B12W,Wire F,axial,x=0 mm; y=-1 mm; z=0 mm,80.75,83.0,1.1665771563552259,0.00015310421749381708
4646,12,alignment-sensitivity,B12W,Wire F,axial,x=0 mm; y=0 mm; z=1 mm,80.75,83.0,1.1666603552710966,0.0001954410847396889
4646,13,alignment-sensitivity,B12W,Wire F,axial,x=0 mm; y=0 mm; z=0 mm,80.75,83.0,1.1665187345088979,0.00020764846456287984
4646,14,alignment-sensitivity,B12W,Wire F,axial,x=0 mm; y=0 mm; z=-1 mm,80.75,83.0,1.1665879760995508,0.00019067594948077773
4646,15,alignment-sensitivity,B12W,Wire F,axial,x=0 mm; y=1 mm; z=0 mm,80.75,83.0,1.1667505459522192,0.0002177550560049758
4646,16,alignment-sensitivity,B12W,Wire F,axial,x=15.68 mm; y=-1 mm; z=0 mm,80.75,83.0,1.1668775669686358,0.00015204118423869616
4646,17,alignment-sensitivity,B12W,Wire F,axial,x=15.68 mm; y=0 mm; z=1 mm,80.75,83.0,1.1662097696485731,0.0001899595493923978
4646,18,alignment-sensitivity,B12W,Wire F,axial,x=15.68 mm; y=0 mm; z=0 mm,80.75,83.0,1.166524824750567,0.00016484562218548014
4646,19,alignment-sensitivity,B12W,Wire F,axial,x=15.68 mm; y=0 mm; z=-1 mm,80.75,83.0,1.1672317266529326,0.0001445321613000814
4646,20,alignment-sensitivity,B12W,Wire F,axial,x=15.68 mm; y=1 mm; z=0 mm,80.75,83.0,1.1667474991982685,0.000178277921150184
4667,1,axial-residual-strain,B12W,Wire D,axial,10.8 mm,80.75,83.0,1.1667394013534258,0.00012524712203774638
4667,2,axial-residual-strain,B12W,Wire D,axial,-5 mm,80.75,83.0,1.1671855744609219,0.00013304376942414788
4667,3,axial-residual-strain,B12W,Wire D,axial,-15 mm,80.75,83.0,1.1658735849369986,0.00015411135401272367
4667,4,axial-residual-strain,B12W,Wire D,axial,-25 mm,80.75,83.0,1.1665133655526532,0.00018117393170059774
4667,5,axial-residual-strain,B12W,Wire D,axial,-35 mm,80.75,83.0,1.1667336287267922,0.00014516739218639285
4667,6,axial-residual-strain,B12W,Wire D,axial,-45 mm,80.75,83.0,1.1661741374336516,0.00015768939560051564
4667,7,axial-residual-strain,B12W,Wire D,axial,-55 mm,80.75,83.0,1.1664769866561986,0.00014839613544746338
4667,8,axial-residual-strain,B12W,Wire D,axial,-65 mm,80.75,83.0,1.166405840485843,0.00018230674984652997
4667,9,axial-residual-strain,B12W,Wire D,axial,-75 mm,80.75,83.0,1.1664750636296448,0.00018559973236193262
4667,10,axial-residual-strain,B12W,Wire D,axial,-85 mm,80.75,83.0,1.1669746225547222,0.00016131939228930157
4667,11,axial-residual-strain,B12W,Wire D,axial,-95 mm,80.75,83.0,1.1671356554816146,0.00023459128410780947
4667,12,axial-residual-strain,B12W,Wire D,axial,-105 mm,80.75,83.0,1.1666888133692748,0.0001731355514005212
4667,13,axial-residual-strain,B12W,Wire D,axial,-115 mm,80.75,83.0,1.1664184183875903,0.0001946866962003504
4667,14,axial-residual-strain,B12W,Wire D,axial,-125 mm,80.75,83.0,1.1664887653842808,0.00021153658160378243
4667,15,axial-residual-strain,B12W,Wire D,axial,-135 mm,80.75,83.0,1.166675345636774,0.00020225802535850555
4678,1,axial-residual-strain,M8N,Wire A,axial,160 mm,,,1.1669710126517208,0.00018743464150711563
4678,2,axial-residual-strain,M8N,Wire A,axial,85 mm,,,1.1665560786836018,0.0001527793052561473
4678,4,axial-residual-strain,M8N,Wire A,axial,125 mm,,,1.1668454873625922,0.00018391497478232723
