reflection,chi_deg,phi_deg,intensity
{220},-20.0,100.0,10.124199
{220},-20.0,90.0,9.88733
{220},-20.0,80.0,17.535717
{220},-20.0,70.0,7.2268124
{220},-20.0,60.0,5.5405784
{220},-20.0,50.0,7.757123
{220},-20.0,40.0,11.318292
{220},-20.0,30.0,8.888127
{220},-20.0,20.0,8.429545
{220},-20.0,10.0,14.503414
{220},-20.0,0.0,12.414101
{220},-10.0,0.0,41.967335
{220},-10.0,10.0,30.919739
{220},-10.0,20.0,44.40102
{220},-10.0,30.0,32.247253
{220},-10.0,40.0,23.521292
{220},-10.0,50.0,32.025803
{220},-10.0,60.0,29.206282
{220},-10.0,70.0,40.657555
{220},-10.0,80.0,30.182692
{220},-10.0,90.0,33.648113
{220},-10.0,100.0,23.7423
{220},-10.0,110.0,29.342546
{220},-10.0,120.0,29.986101
{220},-10.0,130.0,22.183369
{220},-10.0,140.0,30.0985
{220},-10.0,150.0,32.64657
{220},-10.0,160.0,29.882092
{220},-10.0,170.0,24.195465
{220},-10.0,180.0,31.287472
{220},-10.0,190.0,24.727453
{220},-10.0,200.0,39.177994
{220},-10.0,210.0,33.99408
{220},-10.0,220.0,37.43991
{220},-10.0,230.0,29.177898
{220},-10.0,240.0,42.411877
{220},-10.0,250.0,29.982327
{220},-10.0,260.0,42.064236
{220},-10.0,270.0,49.835743
{220},-10.0,280.0,42.67522
{220},-10.0,290.0,38.69027
{220},-10.0,300.0,42.6585
{220},-10.0,310.0,38.781723
{220},-10.0,320.0,46.78602
{220},-10.0,330.0,57.597034
{220},-10.0,340.0,35.66319
{220},-10.0,350.0,46.32762
{220},0.0,0.0,48.540634
